Contractor Name,Contract ID,Purpose,Value of Sandy Funding,Sandy Spending to Date,Current Start Date,Current End Date,Original Start Date,Original End Date,Procurement Method,Estimated Job Creation
"A HEATING, INC.","CT107120121437957","REQUIREMENTS-SERVICES","1282108","1254517","01-Jun-12","31-May-15","01-Jun-12","31-May-15","COMPETITIVE SEALED BIDDING","5"
"A ROYAL FLUSH OF NEW YORK II","CT101720131423395","SUPPLIES/MATERIALS/EQUIPMENT","196131","196131","05-Nov-12","12-Apr-13","05-Nov-12","12-Apr-13","EMERGENCY","1"
"AAA EMERGENCY SUPPLY, CO. INC.","DO185720151527369","","150125","150125","20-Feb-15","20-Feb-15","","","","1"
"ACACIA NETWORK HOUSING INC","CT107120131427696","PROGRAMS","978656","978656","16-Jan-13","15-Jan-14","16-Jan-13","15-Jul-13","EMERGENCY","21"
"ACACIA NETWORK HOUSING INC","CT107120131418118","PROGRAMS","475814","475814","09-Nov-12","08-May-13","09-Nov-12","08-May-13","EMERGENCY","10"
"AECOM USA INC","CT185020111417057","CONSULTANT","808320","808320","30-Sep-10","20-Aug-13","30-Sep-10","20-Aug-13","EMERGENCY","5"
"ALL AMERICAN SCHOOL BUS CORP.","CT101720141401863","SUPPLIES/MATERIALS/EQUIPMENT","409530","409530","28-Oct-12","12-Nov-12","28-Oct-12","12-Nov-12","EMERGENCY","9"
"ALLIED BARTON SECURITY SERVICES LLC","DO185720131326362","","559316","559316","17-Aug-13","17-Aug-13","","","","4"
"ALLIED WASTE SYSTEMS INC","CT101720131422188","WORK/LABOR","168470","168470","05-Nov-12","09-Nov-12","05-Nov-12","09-Nov-12","EMERGENCY","1"
"ALPHA MEDICAL DISTRIBUTOR, INC","DO185720151525346","","108861","108861","10-Oct-14","10-Oct-14","","","","1"
"AMBOY BUS COMPANY","CT101720131427061","SUPPLIES/MATERIALS/EQUIPMENT","114922","114922","27-Oct-12","29-Oct-12","27-Oct-12","29-Oct-12","EMERGENCY","3"
"AMERICAN TEXTILE SYSTEMS","DO185620131001253","","127600","127600","26-Dec-12","26-Dec-12","","","","1"
"APEX MECHANICAL","CT107120121407351","WORK/LABOR","146671","146671","01-Nov-11","30-Oct-14","01-Nov-11","30-Oct-14","COMPETITIVE SEALED BIDDING","1"
"APPLIED BIOSYSTEMS LLC","CT185720125402313","SUPPLIES/MATERIALS/EQUIPMENT","291306","283587","19-Mar-12","18-Mar-13","19-Mar-12","18-Mar-13","INTERGOVERNMENTAL PROCUREMENT","3"
"AQUA BLOX LLC","DO185720131328035","","470459","470459","25-Mar-13","25-Mar-13","","","","3"
"ARAMSCO INC.","DO185720131328134","","439825","439825","17-Aug-13","17-Aug-13","","","","3"
"ARCADIA ELECTRICAL COMPANY INC","CT185020131426868","REQUIREMENTS-CONSTRUCTION","455796","18156","11-Jan-14","11-Jan-16","11-Jan-14","11-Jan-15","RENEWAL OF CONTRACT","3"
"ARCADIA ELECTRICAL COMPANY INC","CT106920121426539","CONSTRUCTION","194076","160899","01-Feb-12","31-Jan-15","01-Feb-12","31-Jan-15","COMPETITIVE SEALED BIDDING","1"
"ASHBRITT INC","DO185720141424529","","804122","804122","28-Aug-13","28-Aug-13","","","","5"
"ASHBRITT INC","DO185720151524456","","147646","147646","22-Sep-14","22-Sep-14","","","","1"
"ASHBRITT INC","DO185720141426532","","186311","186311","12-Dec-13","12-Dec-13","","","","1"
"ASHBRITT INC","DO185720131329376","","996266","996266","19-Jun-13","19-Jun-13","","","","6"
"ASHBRITT INC","DO185720141427832","","3773523","3773523","04-Mar-14","04-Mar-14","","","","24"
"ASHBRITT INC","DO185720141428293","","606027","606027","03-Apr-14","03-Apr-14","","","","4"
"ASI SYSTEM INTEGRATION INC","CT185720135402296","SUPPLIES/MATERIALS/EQUIPMENT","133265","133265","01-Jan-13","30-Jun-13","01-Jan-13","30-Jun-13","INTERGOVERNMENTAL PROCUREMENT","1"
"AUTOMOTIVE RENTALS INC","DO185720141423981","","192395","192395","02-Aug-13","02-Aug-13","","","","1"
"AWL INDUSTRIES INC","CT185020111421496","CONSTRUCTION","733915","771802","17-Dec-10","15-Dec-13","27-Dec-10","27-Dec-13","COMPETITIVE SEALED BIDDING","4"
"BILTMORE GENERAL CONTRACTORS INC.","CT106920111433617","CONSTRUCTION","820769","808313","01-Mar-11","28-Feb-15","01-Mar-11","28-Feb-14","COMPETITIVE SEALED BIDDING","5"
"BLANCHE COMMUNITY PROGRESS DCC, INC.","CT106820131406813","PROGRAMS","149093","149093","01-Oct-12","30-Sep-16","01-Oct-12","30-Sep-16","REQUEST FOR  PROPOSAL (RFP)","1"
"BOUCK GS REALTY LLC","CT106920131416146","LESSEE","1030850","758107","09-Nov-12","05-May-14","09-Nov-12","05-May-13","LESSEE NEGOTIATION","3"
"BOWERY RESIDENTS' COMMITTEE, INC.","CT107120131420537","PROGRAMS","1125733","1125733","02-Nov-12","30-Jun-13","02-Nov-12","01-May-13","EMERGENCY","24"
"BROOKLYN NAVY YARD DEVELOPMENT CORPORATION","CTA180120147204411","CONSTRUCTION","2790545","2790545","19-Feb-14","19-Feb-15","19-Feb-14","19-Feb-15","MULTIPLE AWARDS","16"
"BROOKLYN NAVY YARD DEVELOPMENT CORPORATION","CTA180120157202372","CONSTRUCTION","1118297","1118297","31-Jan-14","31-Jan-15","31-Jan-14","31-Jan-15","COMPETITIVE SEALED BIDDING","6"
"CALL-A-HEAD CORP","DO185720131326586","","183553","183553","11-Apr-13","11-Apr-13","","","","1"
"CAMBA INC","CT107120131415587","PROGRAMS","284972","284972","01-Nov-12","30-Jun-13","01-Nov-12","30-Jun-13","EMERGENCY","6"
"CASTLE OIL CORPORATION","DO185720131326365","","621878","621878","12-Sep-13","12-Sep-13","","","","4"
