Contractor Name,Contract ID,Purpose,Value of Sandy Funding,Sandy Spending to Date,Current Start Date,Current End Date,Original Start Date,Original End Date,Procurement Method,Estimated Job Creation
"ACME AUTO LEASING LLC","CT185720135402131","SUPPLIES/MATERIALS/EQUIPMENT","429800","402936","05-Apr-13","06-Dec-13","05-Apr-13","06-Dec-13","EMERGENCY","1"
"AFRIDI ASSOCIATES","CTA184620137205311","CONSULTANT","345600","108504","06-Feb-13","06-Feb-14","06-Feb-13","06-Feb-14","MULTIPLE AWARDS","1"
"ARISTA PLUMBING, HEATING & PIPING CORP.","CT184620131430333","CONSTRUCTION","738623","738095","26-Jul-13","25-Jul-14","26-Jul-13","25-Jul-14","EMERGENCY","4"
"ASPEN LANDSCAPING CONTRACTING, INC","CT184620141425982","REQUIREMENTS-CONSTRUCTION","815000","513795","19-Jul-14","18-Jul-15","19-Jul-14","18-Jul-15","COMPETITIVE SEALED BIDDING","3"
"ATLANTIC SUBSEA, INC.","CT184620151418826","CONSTRUCTION","4499984","3774701","04-May-15","02-May-16","24-Mar-15","23-Mar-16","COMPETITIVE SEALED BIDDING","8"
"BUILDING MAINTENANCE CORP","CT184620131410427","CONSTRUCTION","1147911","876400","06-Dec-12","02-Aug-13","25-Nov-12","22-Jul-13","COMPETITIVE SEALED BIDDING","5"
"CANON USA INC MCS GOVERNMENT MARKETING","CT185720145401621","SUPPLIES/MATERIALS/EQUIPMENT","144546","117555","13-Nov-13","30-Jun-14","13-Nov-13","30-Jun-14","INTERGOVERNMENTAL PROCUREMENT","1"
"CDE AIR CONDITIONING CO INC","CT184620141421172","CONSTRUCTION","849791","880201","02-Jul-14","01-Jul-15","02-Jul-14","01-Jul-15","COMPETITIVE SEALED BIDDING","4"
"CDE AIR CONDITIONING CO INC","CT184620151410414","CONSTRUCTION","1388860","1124449","02-Feb-15","01-Feb-16","09-Feb-15","08-Feb-16","COMPETITIVE SEALED BIDDING","6"
"CDW GOVERNMENT LLC","DO184620132001457","","169256","159313","17-Aug-13","17-Aug-13","","","","1"
"CENTRAL PARK CONSERVANCY INC","CT184620060039772","WORK/LABOR","1722211","1722211","01-Jul-05","30-Jun-13","01-Jul-05","30-Jun-13","RENEWAL OF CONTRACT","16"
"DELANEY ASSOCIATES LP","CT184620131422354","CONSTRUCTION","2301186","1949687","25-Apr-13","22-Aug-13","25-Apr-13","22-Aug-13","EMERGENCY","11"
"DELANEY ASSOCIATES LP","CT184620131419471","CONSTRUCTION","270890","270890","04-Feb-13","03-Jun-13","04-Feb-13","03-Jun-13","EMERGENCY","2"
"DOM'S LAWN MAKER INC","CT184620111444958","REQUIREMENTS-SERVICES","6183677","6183677","15-Jun-11","14-Jun-13","15-Jun-11","14-Jun-13","COMPETITIVE SEALED BIDDING","54"
"DRAGONETTI BROTHERS LAND SCAPING NURSERY & FLORIST INC","CT184620141424123","CONSTRUCTION","1085000","1018450","28-May-14","27-May-15","28-May-14","27-May-15","COMPETITIVE SEALED BIDDING","3"
"FIA CARD SERVICES N A","DO185720131322287","","297461","275060","27-Jun-13","27-Jun-13","","","","2"
"GALVIN BROTHERS & MADHUE CON- TRACTING","CT184620141408792","CONSTRUCTION","2882000","2609517","23-Aug-13","21-Oct-13","23-Aug-13","21-Oct-13","EMERGENCY","15"
"GALVIN BROTHERS & MADHUE CON- TRACTING","CT184620131419531","CONSTRUCTION","3181300","2816440","03-Jan-13","01-Jul-13","03-Jan-13","01-Jul-13","EMERGENCY","17"
"HAKS ENGINEERS ARCHITECTS AND LANDSURVEYORS PC","CT184620090004180","REQUIREMENTS-SERVICES","210391","208630","11-Nov-10","10-Nov-11","30-Sep-08","30-Sep-10","REQUEST FOR  PROPOSAL (RFP)","2"
"HILL INTERNATIONAL INC","CTA184620137204277","CONSULTANT","319404","300559","29-Mar-13","29-Mar-14","29-Mar-13","29-Mar-14","MULTIPLE AWARDS","2"
"HILL INTERNATIONAL INC","CTA184620137204276","CONSULTANT","293811","293811","29-Mar-13","29-Mar-14","29-Mar-13","29-Mar-14","MULTIPLE AWARDS","2"
