Contractor Name,Contract ID,Purpose,Value of Sandy Funding,Sandy Spending to Date,Current Start Date,Current End Date,Original Start Date,Original End Date,Procurement Method,Estimated Job Creation
"A QUEST CORPORATION","PON104420131341831","","215853","215853","17-Jun-13","17-Jun-13","","","","1"
"A QUEST CORPORATION","PON104420151544844","","3290000","693020","04-Feb-15","04-Feb-15","","","","6"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420151518582","","415007","373507","10-Sep-14","10-Sep-14","","","","3"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420141457106","","106725","106725","08-Apr-14","08-Apr-14","","","","1"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420141469474","","441056","441056","24-Oct-14","24-Oct-14","","","","4"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420151522038","","267035","240332","25-Sep-14","25-Sep-14","","","","2"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420141460625","","320176","320176","21-Apr-14","21-Apr-14","","","","2"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420141469467","","125913","125913","04-Mar-15","04-Mar-15","","","","1"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420151512686","","139661","139661","21-Aug-14","21-Aug-14","","","","1"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420141469471","","255829","255829","28-May-14","28-May-14","","","","2"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420151522994","","187177","168459","30-Sep-14","30-Sep-14","","","","1"
"A&J CONSULTING ENGINEERING SERVICES PC","PON104420141469477","","210669","210669","23-Oct-14","23-Oct-14","","","","2"
"ABC CONSTRUCTION CONTRACTING INC","PON104420131334208","","277382","277382","21-May-13","21-May-13","","","","2"
"ABC CONSTRUCTION CONTRACTING INC","PON104420131334689","","125700","125700","07-Jun-13","07-Jun-13","","","","1"
"ABC CONSTRUCTION CONTRACTING INC","PON104420141457240","","106819","106819","12-May-14","12-May-14","","","","1"
"ABC CONSTRUCTION CONTRACTING INC","PON104420131366953","","162611","162611","26-Sep-13","26-Sep-13","","","","1"
"AECOM USA INC","PON104420141466705","","254689","254689","22-May-14","22-May-14","","","","2"
"AECOM USA INC","PON104420151528133","","206852","206852","03-Jun-15","03-Jun-15","","","","2"
"AECOM USA INC","PON104420151505509","","146921","141999","25-Jul-14","25-Jul-14","","","","1"
"AECOM USA INC","PON104420141466710","","764067","741145","16-May-14","16-May-14","","","","7"
"AMCC CORP","PON104420151541106","","18316855","9187391","30-Dec-15","30-Dec-15","","","","79"
"AMCC CORP","PON104420141474573","","14036000","9706214","25-Jun-14","25-Jun-14","","","","1"
"AMCC CORP","PON104420141474572","","13826478","10534194","18-Dec-14","18-Dec-14","","","","6"
"AMCC CORP","PON104420151535235","","22305511","6364444","18-Feb-15","18-Feb-15","","","","55"
