Contractor Name,Contract ID,Purpose,Value of Sandy Funding,Sandy Spending to Date,Current Start Date,Current End Date,Original Start Date,Original End Date,Procurement Method,Estimated Job Creation
"4312 SECOND AVENUE REALTY LLC","CT105620131417902","LESSEE","3149825","3261155","16-Jan-13","15-Jan-18","16-Jan-13","15-Jan-18","LESSEE NEGOTIATION","8"
"A N S RESTORATION INC","CT105620131421542","CONSTRUCTION","338000","338000","06-Nov-12","21-May-13","06-Nov-12","21-May-13","EMERGENCY","2"
"A. LETO CONSTRUCTION COMPANY INC","CT182720131415932","WORK/LABOR","215033","215033","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","1"
"AAA CARTING AND RUBBISH REMOVAL INC","CT182720131415272","WORK/LABOR","1342597","1342597","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","8"
"ABRUZZI CONTRACTING, INC.","CT182720131416111","WORK/LABOR","234141","234141","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","1"
"ACTION ENVIRONMENTAL SYSTEMS, LLC","CT182720131419190","WORK/LABOR","523401","523401","03-Nov-12","24-Nov-12","03-Nov-12","24-Nov-12","EMERGENCY","3"
"ALLIED EXCAVATING","CT182720131415274","WORK/LABOR","140932","140932","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","1"
"AMERICAN PAVING & MASONRY CORP","CT182720131415514","WORK/LABOR","128527","128527","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","1"
"AMERICAN SIGNAL COMPANY","DO185720141425552","","137906","137906","10-Oct-13","10-Oct-13","","","","1"
"AMIGO CONSTRUCTION INC","CT105620141401426","CONSTRUCTION","155000","155000","13-Mar-13","10-Apr-13","13-Mar-13","10-Apr-13","EMERGENCY","1"
"AMIGO CONSTRUCTION INC","CT105620141407084","CONSTRUCTION","119800","119800","12-Dec-12","05-Jun-13","12-Dec-12","05-Jun-13","EMERGENCY","1"
"AMMUNITION ACCESSORIES INC","DO185720131328199","","134996","134994","02-Apr-13","02-Apr-13","","","","1"
"AMMUNITION ACCESSORIES INC","DO185720141423303","","204850","204847","22-Aug-13","22-Aug-13","","","","1"
"ARCHER AND PAUL INC","DO185720141455128","","1124984","1092284","25-Oct-13","25-Oct-13","","","","7"
"AUTOMOTIVE RENTALS INC","DO185720131322851","","192017","192017","16-Sep-13","16-Sep-13","","","","1"
"AWL INDUSTRIES INC","CT107220131402709","REQUIREMENTS-CONSTRUCTION","4902742","4757313","01-Sep-12","30-Sep-15","01-Sep-12","30-Sep-15","COMPETITIVE SEALED BIDDING","27"
"BARNWELL HOUSE OF TIRES INC","DO185720131320150","","1123000","1123000","23-Jul-13","23-Jul-13","","","","7"
"BESTWAY CARTING","CT182720131414479","WORK/LABOR","199793","199793","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","1"
"C.N.C. INDUSTRIES INC.","CT182720131415158","WORK/LABOR","122772","122772","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","1"
"CAMELOT COMMUNICATIONS GROUP INC","CT185820080019333","WORK/LABOR","3707243","2304326","01-Oct-07","01-Oct-13","01-Oct-07","30-Sep-12","COMPETITIVE SEALED BIDDING","34"
"CARIATI DEVELOPERS INC.","CT182720131416924","WORK/LABOR","598323","598323","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","3"
"CASTLE OIL CORPORATION","DO185720131321484","","100000","100000","17-Aug-13","17-Aug-13","","","","1"
"CHIEF EQUIPMENT INC","DO185720131327170","","270388","270388","10-May-13","10-May-13","","","","2"
"CITY WORLD MOTORS LLC CITY WORLD TOYOTA","DO185720131327162","","122939","121896","08-Feb-13","08-Feb-13","","","","1"
"CLS PROJECT SOLUTIONS INC","CT105620141406911","CONSTRUCTION","1914729","1914729","28-Jun-13","31-Jan-14","28-Jun-13","01-Nov-13","EMERGENCY","11"
"CLS PROJECT SOLUTIONS INC","CT105620150003087","CONSTRUCTION","484750","484750","15-May-14","15-Nov-14","15-May-14","15-Nov-14","EMERGENCY","3"
"DELL MARKETING LP","CT185720155401291","SUPPLIES/MATERIALS/EQUIPMENT","156304","156304","23-Oct-14","30-Jun-15","23-Oct-14","30-Jun-15","INTERGOVERNMENTAL PROCUREMENT","1"
"DEMATTEIS/DARCON, JOINT VENTURE","CT185020121401714","CONSTRUCTION","337621","0","17-Dec-10","02-Dec-14","17-Dec-10","31-Aug-11","ASSIGNMENT","2"
"DIEHL & SONS INC. NEW YORK FREIGHTLINER","DO185720141455070","","145930","145929","15-Oct-13","15-Oct-13","","","","1"
"DIEHL & SONS INC. NEW YORK FREIGHTLINER","DO185720131327171","","142326","142326","08-Mar-13","08-Mar-13","","","","1"
"DUECO INC","DO185720131355238","","174411","174411","27-Jun-13","27-Jun-13","","","","1"
"E-ONE INC","DO185720131355284","","1671281","1671272","09-Oct-13","09-Oct-13","","","","11"
"FASTENAL COMPANY","DO185720131325852","","242646","242646","05-Sep-13","05-Sep-13","","","","2"
"FASTENAL COMPANY","DO185720131324490","","118777","118777","11-Jul-13","11-Jul-13","","","","1"
"FERRARA FIRE APPARATUS INC","CT185720125402088","SUPPLIES/MATERIALS/EQUIPMENT","686656","686656","18-Mar-12","09-Sep-14","18-Mar-12","09-Sep-14","COMPETITIVE SEALED BIDDING","4"
"FERRARA FIRE APPARATUS INC","DO185720131355214","","1084283","1084283","27-Jun-13","27-Jun-13","","","","7"
"FERRARA FIRE APPARATUS INC","DO185720131355215","","4337132","4337132","27-Jun-13","27-Jun-13","","","","28"
"FIA CARD SERVICES N A","DO185720131322605","","408437","408437","05-Apr-13","05-Apr-13","","","","3"
"FIA CARD SERVICES N A","DO185720131326071","","126176","126176","14-Mar-13","14-Mar-13","","","","1"
"GABRIELLI TRUCK SALES LTD","DO185720151555084","","142675","142675","03-Oct-14","03-Oct-14","","","","1"
"GABRIELLI TRUCK SALES LTD","DO185720141455071","","697624","697624","09-Sep-13","09-Sep-13","","","","3"
"GABRIELLI TRUCK SALES LTD","DO185720131327212","","528554","525267","12-Mar-14","12-Mar-14","","","","1"
"GABRIELLI TRUCK SALES LTD","DO185720131320079","","423934","424042","17-Jul-13","17-Jul-13","","","","3"
"GAETA INT DEMO INC","CT182720131415604","WORK/LABOR","172614","172614","04-Nov-12","28-Nov-12","04-Nov-12","28-Nov-12","EMERGENCY","1"
"GEMTOR INC.","DO185720131326819","","351350","351350","23-Jan-13","23-Jan-13","","","","2"
